Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Carolina,23%,66%,11%
Alabama,24%,64%,12%
Tennessee,22%,65%,13%
Ohio,24%,63%,13%
North Carolina,23%,65%,12%
Oklahoma,20%,68%,12%
Utah,21%,66%,13%
Pennsylvania,24%,61%,15%
Indiana,23%,64%,13%
Kentucky,23%,63%,14%
West Virginia,23%,64%,13%
Delaware,25%,62%,13%
Illinois,23%,63%,14%
Virginia,22%,65%,13%
Georgia,21%,66%,13%
Arkansas,20%,68%,12%
Maryland,24%,61%,15%
Rhode Island,23%,64%,13%
Nevada,20%,67%,13%
Louisiana,21%,65%,14%
Kansas,19%,67%,14%
New Jersey,23%,60%,17%
Texas,21%,66%,13%
Florida,22%,64%,14%
Idaho,18%,69%,13%
Connecticut,21%,64%,15%
Mississippi,20%,69%,11%
Missouri,19%,67%,14%
Michigan,20%,67%,13%
California,20%,65%,15%
Arizona,19%,67%,14%
Wisconsin,19%,67%,14%
North Dakota,19%,69%,12%
Minnesota,19%,68%,13%
New York,21%,63%,16%
Iowa,19%,67%,14%
Oregon,17%,71%,12%
Nebraska,18%,70%,12%
Colorado,18%,68%,14%
Washington,19%,66%,15%
New Mexico,19%,67%,14%
Massachusetts,21%,62%,17%
New Hampshire,19%,68%,13%
South Dakota,14%,76%,10%
Wyoming,17%,70%,13%
Vermont,17%,69%,14%
Maine,17%,70%,13%
Hawaii,15%,72%,13%
Alaska,15%,72%,13%
Montana,14%,74%,12%
District of Columbia,16%,68%,16%
