table_name,column_name,Keep it?
Categories,CategoryID,Yes
Categories,CategoryName,Yes
Categories,Description,No
Categories,Picture,No
Customers,CustomerID,Yes
Customers,CompanyName,Yes
Customers,ContactName,Yes
Customers,ContactTitle,No
Customers,Address,No
Customers,City,Yes
Customers,Region,Yes
Customers,PostalCode,Yes
Customers,Country,Yes
Customers,Phone,No
Customers,Fax,No
Employees,EmployeeID,Yes
Employees,LastName,Yes
Employees,FirstName,Yes
Employees,Title,Yes
Employees,TitleOfCourtesy,No
Employees,BirthDate,Yes
Employees,HireDate,Yes
Employees,Address,No
Employees,City,Yes
Employees,Region,Yes
Employees,PostalCode,Yes
Employees,Country,Yes
Employees,HomePhone,No
Employees,Extension,No
Employees,Photo,No
Employees,Notes,No
Employees,ReportsTo,Yes
Employees,PhotoPath,No
EmployeeTerritories,EmployeeID,Yes
EmployeeTerritories,TerritoryID,Yes
Order Details,OrderID,Yes
Order Details,ProductID,Yes
Order Details,UnitPrice,Yes
Order Details,Quantity,Yes
Order Details,Discount,Yes
Orders,OrderID,Yes
Orders,CustomerID,Yes
Orders,EmployeeID,Yes
Orders,OrderDate,Yes
Orders,RequiredDate,Yes
Orders,ShippedDate,Yes
Orders,ShipVia,Yes
Orders,Freight,Yes
Orders,ShipName,No
Orders,ShipAddress,No
Orders,ShipCity,Yes
Orders,ShipRegion,Yes
Orders,ShipPostalCode,Yes
Orders,ShipCountry,Yes
Products,ProductID,Yes
Products,ProductName,Yes
Products,SupplierID,Yes
Products,CategoryID,Yes
Products,QuantityPerUnit,No
Products,UnitPrice,Yes
Products,UnitsInStock,Yes
Products,UnitsOnOrder,Yes
Products,ReorderLevel,Yes
Products,Discontinued,Yes
Region,RegionID,Yes
Region,RegionDescription,Yes
Shippers,ShipperID,Yes
Shippers,CompanyName,Yes
Shippers,Phone,No
Suppliers,SupplierID,Yes
Suppliers,CompanyName,Yes
Suppliers,ContactName,Yes
Suppliers,ContactTitle,No
Suppliers,Address,No
Suppliers,City,Yes
Suppliers,Region,Yes
Suppliers,PostalCode,Yes
Suppliers,Country,Yes
Suppliers,Phone,No
Suppliers,Fax,No
Suppliers,HomePage,No
Territories,TerritoryID,Yes
Territories,TerritoryDescription,Yes
Territories,RegionID,Yes
