table_name,column_id,column_name,data_type,max_length,Primary Key?,Foreign Key?,Keep it?,New Column Name?,Measure Candidate?,Attribute Candidate?,Formatting Considerations?,Calculations?,Notes:
Categories,1,CategoryID,int,4,Yes,No,Yes,CategoryID,No,No,None,"Count, filter, group, or define model relationship",Primary key; keep for relationships and unique records.
Categories,2,CategoryName,nvarchar,30,No,No,Yes,Category,No,Yes,None,Group/filter reports by this field,Useful for reporting.
Categories,3,Description,ntext,16,No,No,No,Description,No,No,N/A,N/A,Long text field; not useful for aggregation in this report.
Categories,4,Picture,image,16,No,No,No,Picture,No,No,N/A,N/A,Binary image data; remove.
Customers,1,CustomerID,nchar,10,No,No,Yes,CustomerID,No,No,None,"Count, filter, group, or define model relationship",Primary key; keep for relationships and unique records.
Customers,2,CompanyName,nvarchar,80,No,No,Yes,Customer Company,No,Yes,None,Group/filter reports by this field,Useful for reporting.
Customers,3,ContactName,nvarchar,60,No,No,Yes,Customer Contact,No,Yes,None,Group/filter reports by this field,Useful for reporting.
Customers,4,ContactTitle,nvarchar,60,No,No,No,Customer Contact Title,No,No,N/A,N/A,"Contact info, not needed for analysis."
Customers,5,Address,nvarchar,120,No,No,No,Customer Address,No,No,N/A,N/A,Street-level detail not needed; keep city/region/country instead.
Customers,6,City,nvarchar,30,No,No,Yes,Customer City,No,Yes,None,Group/filter reports by this field,Useful for reporting.
Customers,7,Region,nvarchar,30,No,No,Yes,Customer Region,No,Yes,None,Group/filter reports by this field,Useful for reporting.
Customers,8,PostalCode,nvarchar,20,No,No,Yes,Customer Postal Code,No,Yes,None,Group/filter reports by this field,Useful for reporting.
Customers,9,Country,nvarchar,30,No,No,Yes,Customer Country,No,Yes,None,Group/filter reports by this field,Useful for reporting.
Customers,10,Phone,nvarchar,48,No,No,No,Customer Phone,No,No,N/A,N/A,Contact information; remove.
Customers,11,Fax,nvarchar,48,No,No,No,Customer Fax,No,No,N/A,N/A,Contact information; remove.
